# kubectl get events -n settle --sort-by=.lastTimestamp (exported 14:58, merged with node events)
LAST SEEN            TYPE      REASON                       OBJECT                                   MESSAGE
2026-08-14T14:02:58Z  Normal    Killing                      pod/settle-worker-6f8b7d9c5-9pqrs        Stopping container worker
2026-08-14T14:03:02Z  Normal    Pulled                       pod/settle-worker-84c6d7f9b-d3e4f        Successfully pulled image "registry.paylane.internal/settle-api:latest" in 3.1s. Image digest: sha256:8f3c1a9be27d4410c0f5b6e9a3d17c2284f0e5a6b1c9d7e3f2a4b5c6d7e8f901
2026-08-14T14:03:04Z  Warning   Unhealthy                    pod/settle-api-5b7f9c6d4-2mxkq           Liveness probe failed: Get "http://10.42.1.14:8000/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-08-14T14:03:04Z  Normal    Killing                      pod/settle-api-5b7f9c6d4-2mxkq           Container api failed liveness probe, will be restarted
2026-08-14T14:03:06Z  Normal    Started                      pod/settle-worker-84c6d7f9b-d3e4f        Started container worker
2026-08-14T14:03:13Z  Normal    Killing                      pod/settle-worker-6f8b7d9c5-c2vbn        Stopping container worker
2026-08-14T14:03:16Z  Normal    Pulled                       pod/settle-worker-84c6d7f9b-g5h6j        Successfully pulled image "registry.paylane.internal/settle-api:latest" in 3.1s. Image digest: sha256:8f3c1a9be27d4410c0f5b6e9a3d17c2284f0e5a6b1c9d7e3f2a4b5c6d7e8f901
2026-08-14T14:03:20Z  Normal    Started                      pod/settle-worker-84c6d7f9b-g5h6j        Started container worker
2026-08-14T14:03:25Z  Warning   Unhealthy                    pod/settle-api-5b7f9c6d4-8zv4t           Liveness probe failed: HTTP probe failed with statuscode: 500
2026-08-14T14:03:25Z  Normal    Killing                      pod/settle-api-5b7f9c6d4-8zv4t           Container api failed liveness probe, will be restarted
2026-08-14T14:03:27Z  Normal    Killing                      pod/settle-worker-6f8b7d9c5-wx7yz        Stopping container worker
2026-08-14T14:03:30Z  Normal    Pulled                       pod/settle-worker-84c6d7f9b-k7m8n        Successfully pulled image "registry.paylane.internal/settle-api:latest" in 3.1s. Image digest: sha256:8f3c1a9be27d4410c0f5b6e9a3d17c2284f0e5a6b1c9d7e3f2a4b5c6d7e8f901
2026-08-14T14:03:34Z  Normal    Started                      pod/settle-worker-84c6d7f9b-k7m8n        Started container worker
2026-08-14T14:03:38Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-xk2lp           Liveness probe failed: Get "http://10.42.2.31:8000/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-08-14T14:03:38Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-xk2lp           Container api failed liveness probe, will be restarted
2026-08-14T14:03:48Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-b4n8s           Liveness probe failed: HTTP probe failed with statuscode: 500
2026-08-14T14:03:48Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-b4n8s           Container api failed liveness probe, will be restarted
2026-08-14T14:03:59Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-j7wq2           Liveness probe failed: Get "http://10.42.2.32:8000/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-08-14T14:03:59Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-j7wq2           Container api failed liveness probe, will be restarted
2026-08-14T14:04:21Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-r5tzm           Liveness probe failed: HTTP probe failed with statuscode: 500
2026-08-14T14:04:21Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-r5tzm           Container api failed liveness probe, will be restarted
2026-08-14T14:04:40Z  Normal    SuccessfulRescale            horizontalpodautoscaler/settle-api       New size: 8; reason: cpu resource utilization (percentage of request) above target
2026-08-14T14:04:42Z  Warning   Unhealthy                    pod/settle-api-5b7f9c6d4-2mxkq           Liveness probe failed: Get "http://10.42.1.14:8000/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-08-14T14:04:42Z  Normal    Killing                      pod/settle-api-5b7f9c6d4-2mxkq           Container api failed liveness probe, will be restarted
2026-08-14T14:04:49Z  Warning   Unhealthy                    pod/settle-api-5b7f9c6d4-8zv4t           Liveness probe failed: HTTP probe failed with statuscode: 500
2026-08-14T14:04:49Z  Normal    Killing                      pod/settle-api-5b7f9c6d4-8zv4t           Container api failed liveness probe, will be restarted
2026-08-14T14:05:05Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-q6ht4           Liveness probe failed: Get "http://10.42.2.36:8000/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-08-14T14:05:05Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-q6ht4           Container api failed liveness probe, will be restarted
2026-08-14T14:05:25Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-z3fw8           Liveness probe failed: HTTP probe failed with statuscode: 500
2026-08-14T14:05:25Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-z3fw8           Container api failed liveness probe, will be restarted
2026-08-14T14:05:26Z  Warning   BackOff                      pod/settle-api-7c9d8f5b6-z3fw8           Back-off restarting failed container api in pod
2026-08-14T14:05:36Z  Warning   Unhealthy                    pod/settle-api-5b7f9c6d4-2mxkq           Liveness probe failed: Get "http://10.42.1.14:8000/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-08-14T14:05:36Z  Normal    Killing                      pod/settle-api-5b7f9c6d4-2mxkq           Container api failed liveness probe, will be restarted
2026-08-14T14:05:41Z  Normal    SuccessfulRescale            horizontalpodautoscaler/settle-api       New size: 10; reason: cpu resource utilization (percentage of request) above target
2026-08-14T14:05:43Z  Normal    ScalingReplicaSet            deployment/settle-api                    Scaled up replica set settle-api-7c9d8f5b6 to 10
2026-08-14T14:06:00Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-h4r7k           Liveness probe failed: HTTP probe failed with statuscode: 500
2026-08-14T14:06:00Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-h4r7k           Container api failed liveness probe, will be restarted
2026-08-14T14:06:23Z  Warning   Unhealthy                    pod/settle-api-5b7f9c6d4-2mxkq           Liveness probe failed: Get "http://10.42.1.14:8000/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-08-14T14:06:23Z  Normal    Killing                      pod/settle-api-5b7f9c6d4-2mxkq           Container api failed liveness probe, will be restarted
2026-08-14T14:06:24Z  Warning   BackOff                      pod/settle-api-5b7f9c6d4-2mxkq           Back-off restarting failed container api in pod
2026-08-14T14:06:45Z  Warning   Unhealthy                    pod/settle-api-5b7f9c6d4-8zv4t           Liveness probe failed: HTTP probe failed with statuscode: 500
2026-08-14T14:06:45Z  Normal    Killing                      pod/settle-api-5b7f9c6d4-8zv4t           Container api failed liveness probe, will be restarted
2026-08-14T14:07:08Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-xk2lp           Liveness probe failed: Get "http://10.42.2.31:8000/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-08-14T14:07:08Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-xk2lp           Container api failed liveness probe, will be restarted
2026-08-14T14:07:31Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-b4n8s           Liveness probe failed: HTTP probe failed with statuscode: 500
2026-08-14T14:07:31Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-b4n8s           Container api failed liveness probe, will be restarted
2026-08-14T14:07:32Z  Warning   BackOff                      pod/settle-api-7c9d8f5b6-b4n8s           Back-off restarting failed container api in pod
2026-08-14T14:07:52Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-j7wq2           Liveness probe failed: Get "http://10.42.2.32:8000/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-08-14T14:07:52Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-j7wq2           Container api failed liveness probe, will be restarted
2026-08-14T14:08:13Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-r5tzm           Liveness probe failed: HTTP probe failed with statuscode: 500
2026-08-14T14:08:13Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-r5tzm           Container api failed liveness probe, will be restarted
2026-08-14T14:08:34Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-m2k9d           Liveness probe failed: Get "http://10.42.2.35:8000/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-08-14T14:08:34Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-m2k9d           Container api failed liveness probe, will be restarted
2026-08-14T14:08:35Z  Warning   BackOff                      pod/settle-api-7c9d8f5b6-m2k9d           Back-off restarting failed container api in pod
2026-08-14T14:08:57Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-p8x3v           Liveness probe failed: HTTP probe failed with statuscode: 500
2026-08-14T14:08:57Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-p8x3v           Container api failed liveness probe, will be restarted
2026-08-14T14:09:18Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-q6ht4           Liveness probe failed: Get "http://10.42.2.36:8000/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-08-14T14:09:18Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-q6ht4           Container api failed liveness probe, will be restarted
2026-08-14T14:09:32Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-z3fw8           Liveness probe failed: HTTP probe failed with statuscode: 500
2026-08-14T14:09:32Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-z3fw8           Container api failed liveness probe, will be restarted
2026-08-14T14:09:33Z  Warning   BackOff                      pod/settle-api-7c9d8f5b6-z3fw8           Back-off restarting failed container api in pod
2026-08-14T14:09:52Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-v9c2n           Liveness probe failed: Get "http://10.42.2.38:8000/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-08-14T14:09:52Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-v9c2n           Container api failed liveness probe, will be restarted
2026-08-14T14:10:33Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-h4r7k           Liveness probe failed: HTTP probe failed with statuscode: 500
2026-08-14T14:10:33Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-h4r7k           Container api failed liveness probe, will be restarted
2026-08-14T14:11:33Z  Warning   Unhealthy                    pod/settle-api-5b7f9c6d4-2mxkq           Liveness probe failed: Get "http://10.42.1.14:8000/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-08-14T14:11:33Z  Normal    Killing                      pod/settle-api-5b7f9c6d4-2mxkq           Container api failed liveness probe, will be restarted
2026-08-14T14:11:34Z  Warning   BackOff                      pod/settle-api-5b7f9c6d4-2mxkq           Back-off restarting failed container api in pod
2026-08-14T14:12:32Z  Warning   Unhealthy                    pod/settle-api-5b7f9c6d4-8zv4t           Liveness probe failed: HTTP probe failed with statuscode: 500
2026-08-14T14:12:32Z  Normal    Killing                      pod/settle-api-5b7f9c6d4-8zv4t           Container api failed liveness probe, will be restarted
2026-08-14T14:13:01Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-xk2lp           Liveness probe failed: Get "http://10.42.2.31:8000/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-08-14T14:13:01Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-xk2lp           Container api failed liveness probe, will be restarted
2026-08-14T14:13:48Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-b4n8s           Liveness probe failed: HTTP probe failed with statuscode: 500
2026-08-14T14:13:48Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-b4n8s           Container api failed liveness probe, will be restarted
2026-08-14T14:13:49Z  Warning   BackOff                      pod/settle-api-7c9d8f5b6-b4n8s           Back-off restarting failed container api in pod
2026-08-14T14:14:26Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-j7wq2           Liveness probe failed: Get "http://10.42.2.32:8000/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-08-14T14:14:26Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-j7wq2           Container api failed liveness probe, will be restarted
2026-08-14T14:15:04Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-r5tzm           Liveness probe failed: HTTP probe failed with statuscode: 500
2026-08-14T14:15:04Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-r5tzm           Container api failed liveness probe, will be restarted
2026-08-14T14:15:47Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-m2k9d           Liveness probe failed: Get "http://10.42.2.35:8000/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-08-14T14:15:47Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-m2k9d           Container api failed liveness probe, will be restarted
2026-08-14T14:15:48Z  Warning   BackOff                      pod/settle-api-7c9d8f5b6-m2k9d           Back-off restarting failed container api in pod
2026-08-14T14:16:41Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-p8x3v           Liveness probe failed: HTTP probe failed with statuscode: 500
2026-08-14T14:16:41Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-p8x3v           Container api failed liveness probe, will be restarted
2026-08-14T14:17:43Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-q6ht4           Liveness probe failed: Get "http://10.42.2.36:8000/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-08-14T14:17:43Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-q6ht4           Container api failed liveness probe, will be restarted
2026-08-14T14:18:27Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-z3fw8           Liveness probe failed: HTTP probe failed with statuscode: 500
2026-08-14T14:18:27Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-z3fw8           Container api failed liveness probe, will be restarted
2026-08-14T14:18:28Z  Warning   BackOff                      pod/settle-api-7c9d8f5b6-z3fw8           Back-off restarting failed container api in pod
2026-08-14T14:19:31Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-v9c2n           Liveness probe failed: Get "http://10.42.2.38:8000/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-08-14T14:19:31Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-v9c2n           Container api failed liveness probe, will be restarted
2026-08-14T14:20:20Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-h4r7k           Liveness probe failed: HTTP probe failed with statuscode: 500
2026-08-14T14:20:20Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-h4r7k           Container api failed liveness probe, will be restarted
2026-08-14T14:20:58Z  Warning   Unhealthy                    pod/settle-api-5b7f9c6d4-2mxkq           Liveness probe failed: Get "http://10.42.1.14:8000/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-08-14T14:20:58Z  Normal    Killing                      pod/settle-api-5b7f9c6d4-2mxkq           Container api failed liveness probe, will be restarted
2026-08-14T14:20:59Z  Warning   BackOff                      pod/settle-api-5b7f9c6d4-2mxkq           Back-off restarting failed container api in pod
2026-08-14T14:21:46Z  Warning   Unhealthy                    pod/settle-api-5b7f9c6d4-8zv4t           Liveness probe failed: HTTP probe failed with statuscode: 500
2026-08-14T14:21:46Z  Normal    Killing                      pod/settle-api-5b7f9c6d4-8zv4t           Container api failed liveness probe, will be restarted
2026-08-14T14:22:38Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-xk2lp           Liveness probe failed: Get "http://10.42.2.31:8000/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-08-14T14:22:38Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-xk2lp           Container api failed liveness probe, will be restarted
2026-08-14T14:23:34Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-b4n8s           Liveness probe failed: HTTP probe failed with statuscode: 500
2026-08-14T14:23:34Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-b4n8s           Container api failed liveness probe, will be restarted
2026-08-14T14:23:35Z  Warning   BackOff                      pod/settle-api-7c9d8f5b6-b4n8s           Back-off restarting failed container api in pod
2026-08-14T14:24:21Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-j7wq2           Liveness probe failed: Get "http://10.42.2.32:8000/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-08-14T14:24:21Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-j7wq2           Container api failed liveness probe, will be restarted
2026-08-14T14:24:56Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-r5tzm           Liveness probe failed: HTTP probe failed with statuscode: 500
2026-08-14T14:24:56Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-r5tzm           Container api failed liveness probe, will be restarted
2026-08-14T14:25:50Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-m2k9d           Liveness probe failed: Get "http://10.42.2.35:8000/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-08-14T14:25:50Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-m2k9d           Container api failed liveness probe, will be restarted
2026-08-14T14:25:51Z  Warning   BackOff                      pod/settle-api-7c9d8f5b6-m2k9d           Back-off restarting failed container api in pod
2026-08-14T14:26:46Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-p8x3v           Liveness probe failed: HTTP probe failed with statuscode: 500
2026-08-14T14:26:46Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-p8x3v           Container api failed liveness probe, will be restarted
2026-08-14T14:27:45Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-q6ht4           Liveness probe failed: Get "http://10.42.2.36:8000/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-08-14T14:27:45Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-q6ht4           Container api failed liveness probe, will be restarted
2026-08-14T14:28:17Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-z3fw8           Liveness probe failed: HTTP probe failed with statuscode: 500
2026-08-14T14:28:17Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-z3fw8           Container api failed liveness probe, will be restarted
2026-08-14T14:28:18Z  Warning   BackOff                      pod/settle-api-7c9d8f5b6-z3fw8           Back-off restarting failed container api in pod
2026-08-14T14:29:26Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-v9c2n           Liveness probe failed: Get "http://10.42.2.38:8000/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-08-14T14:29:26Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-v9c2n           Container api failed liveness probe, will be restarted
2026-08-14T14:30:08Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-h4r7k           Liveness probe failed: HTTP probe failed with statuscode: 500
2026-08-14T14:30:08Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-h4r7k           Container api failed liveness probe, will be restarted
2026-08-14T14:30:54Z  Warning   Unhealthy                    pod/settle-api-5b7f9c6d4-2mxkq           Liveness probe failed: Get "http://10.42.1.14:8000/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-08-14T14:30:54Z  Normal    Killing                      pod/settle-api-5b7f9c6d4-2mxkq           Container api failed liveness probe, will be restarted
2026-08-14T14:30:55Z  Warning   BackOff                      pod/settle-api-5b7f9c6d4-2mxkq           Back-off restarting failed container api in pod
2026-08-14T14:31:05Z  Warning   EvictionThresholdMet         node/node-2                              Attempting to reclaim ephemeral-storage
2026-08-14T14:31:05Z  Normal    NodeHasDiskPressure          node/node-2                              Node node-2 status is now: NodeHasDiskPressure
2026-08-14T14:31:40Z  Warning   Evicted                      pod/settle-api-7c9d8f5b6-xk2lp           The node was low on resource: ephemeral-storage. Threshold quantity: 10%, available: 9.94%.
2026-08-14T14:31:52Z  Warning   Evicted                      pod/settle-api-7c9d8f5b6-j7wq2           The node was low on resource: ephemeral-storage. Threshold quantity: 10%, available: 9.94%.
2026-08-14T14:31:52Z  Warning   Evicted                      pod/settle-worker-84c6d7f9b-a1b2c        The node was low on resource: ephemeral-storage. Threshold quantity: 10%, available: 9.91%.
2026-08-14T14:31:57Z  Warning   Unhealthy                    pod/settle-api-5b7f9c6d4-8zv4t           Liveness probe failed: HTTP probe failed with statuscode: 500
2026-08-14T14:31:57Z  Normal    Killing                      pod/settle-api-5b7f9c6d4-8zv4t           Container api failed liveness probe, will be restarted
2026-08-14T14:32:04Z  Warning   Evicted                      pod/settle-api-7c9d8f5b6-m2k9d           The node was low on resource: ephemeral-storage. Threshold quantity: 10%, available: 9.94%.
2026-08-14T14:32:16Z  Warning   Evicted                      pod/settle-api-7c9d8f5b6-q6ht4           The node was low on resource: ephemeral-storage. Threshold quantity: 10%, available: 9.94%.
2026-08-14T14:32:28Z  Warning   Evicted                      pod/settle-api-7c9d8f5b6-v9c2n           The node was low on resource: ephemeral-storage. Threshold quantity: 10%, available: 9.94%.
2026-08-14T14:32:35Z  Warning   FailedScheduling             pod/settle-api-7c9d8f5b6-c8x2w           0/3 nodes are available: 1 node(s) had untolerated taint {node.kubernetes.io/disk-pressure: }, 2 Insufficient cpu. preemption: 0/3 nodes are available
2026-08-14T14:32:48Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-xk2lp           Liveness probe failed: Get "http://10.42.2.31:8000/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-08-14T14:32:48Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-xk2lp           Container api failed liveness probe, will be restarted
2026-08-14T14:33:30Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-b4n8s           Liveness probe failed: HTTP probe failed with statuscode: 500
2026-08-14T14:33:30Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-b4n8s           Container api failed liveness probe, will be restarted
2026-08-14T14:33:31Z  Warning   BackOff                      pod/settle-api-7c9d8f5b6-b4n8s           Back-off restarting failed container api in pod
2026-08-14T14:34:30Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-j7wq2           Liveness probe failed: Get "http://10.42.2.32:8000/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-08-14T14:34:30Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-j7wq2           Container api failed liveness probe, will be restarted
2026-08-14T14:35:16Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-r5tzm           Liveness probe failed: HTTP probe failed with statuscode: 500
2026-08-14T14:35:16Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-r5tzm           Container api failed liveness probe, will be restarted
2026-08-14T14:36:11Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-m2k9d           Liveness probe failed: Get "http://10.42.2.35:8000/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-08-14T14:36:11Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-m2k9d           Container api failed liveness probe, will be restarted
2026-08-14T14:36:12Z  Warning   BackOff                      pod/settle-api-7c9d8f5b6-m2k9d           Back-off restarting failed container api in pod
2026-08-14T14:37:17Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-p8x3v           Liveness probe failed: HTTP probe failed with statuscode: 500
2026-08-14T14:37:17Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-p8x3v           Container api failed liveness probe, will be restarted
2026-08-14T14:37:44Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-q6ht4           Liveness probe failed: Get "http://10.42.2.36:8000/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
2026-08-14T14:37:44Z  Normal    Killing                      pod/settle-api-7c9d8f5b6-q6ht4           Container api failed liveness probe, will be restarted
2026-08-14T14:38:20Z  Normal    ScalingReplicaSet            deployment/settle-api                    Scaled up replica set settle-api-5b7f9c6d4 to 5 (rollout undo to revision 17)
2026-08-14T14:38:23Z  Normal    Pulled                       pod/settle-api-5b7f9c6d4-n2q8d           Container image "registry.paylane.internal/settle-api:latest" pulled. Image digest: sha256:8f3c1a9be27d4410c0f5b6e9a3d17c2284f0e5a6b1c9d7e3f2a4b5c6d7e8f901
2026-08-14T14:38:31Z  Normal    ScalingReplicaSet            deployment/settle-worker                 Scaled up replica set settle-worker-6f8b7d9c5 to 1 (rollout undo to revision 11)
2026-08-14T14:38:34Z  Normal    Pulled                       pod/settle-worker-6f8b7d9c5-b7m2x        Successfully pulled image "registry.paylane.internal/settle-api:latest". Image digest: sha256:8f3c1a9be27d4410c0f5b6e9a3d17c2284f0e5a6b1c9d7e3f2a4b5c6d7e8f901
2026-08-14T14:38:48Z  Warning   Unhealthy                    pod/settle-api-7c9d8f5b6-z3fw8           Liveness probe failed: HTTP probe failed with statuscode: 500
