payout_reference,merchant_id,amount_minor,currency,bank_ref_1,paid_at_1,bank_ref_2,paid_at_2
payout-881562,35478,2037474,EUR,BNK-EE23C7ECE104,2026-08-14T14:02:10.564Z,BNK-5B2CF85D808B,2026-08-14T14:02:58.206Z
payout-881563,34397,553569,EUR,BNK-EB1B45CC1218,2026-08-14T14:02:10.807Z,BNK-60DDF9C9B287,2026-08-14T14:02:58.481Z
payout-881564,33316,1157366,EUR,BNK-823314E9A258,2026-08-14T14:02:11.016Z,BNK-1A275FC22F4C,2026-08-14T14:02:58.735Z
payout-881565,32235,1216869,EUR,BNK-7AF7476620F5,2026-08-14T14:02:11.301Z,BNK-4FC037A37835,2026-08-14T14:02:59.003Z
payout-881566,31154,1146103,EUR,BNK-F5380E519321,2026-08-14T14:02:11.493Z,BNK-1F8E6701E146,2026-08-14T14:02:59.285Z
payout-881567,30073,188687,EUR,BNK-E5237A54C7DE,2026-08-14T14:02:11.745Z,BNK-00722D088D17,2026-08-14T14:02:59.527Z
payout-881568,37992,194094,EUR,BNK-C15C4F533D54,2026-08-14T14:02:11.970Z,BNK-9F1ED645C136,2026-08-14T14:02:59.778Z
payout-881569,36911,1966538,EUR,BNK-40F119F239AC,2026-08-14T14:02:12.224Z,BNK-9C38A6FD54A7,2026-08-14T14:03:00.027Z
payout-881570,35830,315875,EUR,BNK-4C7EC8B24118,2026-08-14T14:02:12.408Z,BNK-50C26E60ACF4,2026-08-14T14:03:00.319Z
payout-881572,33668,997925,EUR,BNK-D3C94114CF81,2026-08-14T14:02:12.764Z,BNK-591A46D99C76,2026-08-14T14:03:00.552Z
payout-881573,32587,2396478,EUR,BNK-EF1E06029D4F,2026-08-14T14:02:13.005Z,BNK-9CF13AC8DB49,2026-08-14T14:03:00.805Z
payout-881574,31506,744046,EUR,BNK-DDE8C9FCB0CA,2026-08-14T14:02:13.287Z,BNK-93A45FCEF078,2026-08-14T14:03:01.015Z
payout-881575,30425,1145192,EUR,BNK-C4C5B8183480,2026-08-14T14:02:13.556Z,BNK-8E1110CC5CA5,2026-08-14T14:03:01.244Z
payout-881576,38344,1071795,EUR,BNK-BA553B444BDB,2026-08-14T14:02:13.863Z,BNK-93893720EDC2,2026-08-14T14:03:01.500Z
payout-881577,37263,1768975,EUR,BNK-A24619747496,2026-08-14T14:02:14.139Z,BNK-43C27B02DB51,2026-08-14T14:03:01.727Z
payout-881578,36182,1880484,EUR,BNK-CEDB928E40D3,2026-08-14T14:02:14.336Z,BNK-E65855362456,2026-08-14T14:03:01.992Z
payout-881579,35101,1327224,EUR,BNK-C2FE46784354,2026-08-14T14:02:14.516Z,BNK-D718A4B237E2,2026-08-14T14:03:02.194Z
